Organ,Organ_Condition,Image URL
Human Body,Healthy,https://drive.google.com/thumbnail?id=1ylxJnWTWvre9-6uzarqJXcs1XniCDGyx&sz=w1000
Human Body,Damaged,https://drive.google.com/thumbnail?id=1MfCvbJXbj37OLqwyGBKzGtAzS6XkeGgc&sz=w1000
Heart,Healthy,https://drive.google.com/thumbnail?id=17BtP77O1W85J-vxsg6YfGiairnuXl9ip&sz=w1000
Heart,Damaged,https://drive.google.com/thumbnail?id=1fhhqC2aCBs-g7xeOpBvn08GY8L3HQ89d&sz=w1000
Lungs,Healthy,https://drive.google.com/thumbnail?id=1IIhAo8GZ8UkAQosILrahqiXLxNusiNSa&sz=w1000
Lungs,Damaged,https://drive.google.com/thumbnail?id=1AAXOqgUR1gC6ujgezGOHa2JNw5iVaKv7&sz=w1000
Kidney,Healthy,https://drive.google.com/thumbnail?id=1gAZ9E25A4Qrwn3iiNuN5ozykxIQ_1Iq8&sz=w1000
Kidney,Damaged,https://drive.google.com/thumbnail?id=1NknhKFzUXxh70S1nLEXPpl3Dq0vDnrj8&sz=w1000
Liver,Healthy,https://drive.google.com/thumbnail?id=1KVewxU4ktIeBBnoS-4z4B1F_s-io2qyI&sz=w1000
Liver,Damaged,https://drive.google.com/thumbnail?id=137KnAVIbpbvihK3ZN98baOC4TkzUQxnO&sz=w1000
